state,plan,age,profile,rank,carrier,monthly_rate,rate_type,household_discount,latest_increase_pct,latest_increase_date,state_low,state_high,state_spread,carriers_quoting,as_of
NJ,G,70,F non-tobacco,3,"AARP Medicare Supplement Insurance Plans, insured by United Healthcare Insurance Company of America",172.51,community rated,yes,7.05,2025-08-01,158.14,294.00,135.86,18,2026-07-15
NJ,G,70,F non-tobacco,4,"Humana Insurance Company",175.56,attained age,yes,16.22,2025-08-01,158.14,294.00,135.86,18,2026-07-15
NJ,G,70,F non-tobacco,5,"Insurance Co of N Amer",179.81,attained age,no,,,158.14,294.00,135.86,18,2026-07-15
NJ,G,75,F non-tobacco,1,"Bankers Fidelity Assur Co",187.90,attained age,no,6.9,2026-02-01,187.90,351.00,163.10,18,2026-07-15
NJ,G,75,F non-tobacco,2,"Medico Ins Co",194.28,attained age,no,9,2026-05-01,187.90,351.00,163.10,18,2026-07-15
NJ,G,75,F non-tobacco,3,"HealthSpring National Health Ins Co",194.99,attained age,no,6.9,2025-08-01,187.90,351.00,163.10,18,2026-07-15
NJ,G,75,F non-tobacco,4,"AARP Medicare Supplement Insurance Plans, insured by United Healthcare Insurance Company of America",201.44,community rated,yes,7.05,2025-08-01,187.90,351.00,163.10,18,2026-07-15
NJ,G,75,F non-tobacco,5,"Humana Insurance Company",210.34,attained age,yes,16.22,2025-08-01,187.90,351.00,163.10,18,2026-07-15
NJ,N,65,F non-tobacco,1,"AARP Medicare Supplement Insurance Plans, insured by United Healthcare Insurance Company of America",105.30,community rated,yes,7.11,2025-08-01,105.30,202.00,96.70,19,2026-07-15
NJ,N,65,F non-tobacco,2,"HealthSpring National Health Ins Co",106.57,attained age,no,6.9,2025-08-01,105.30,202.00,96.70,19,2026-07-15
NJ,N,65,F non-tobacco,3,"Washington Natl Ins Co",107.91,attained age,no,1.42,2025-08-04,105.30,202.00,96.70,19,2026-07-15
NJ,N,65,F non-tobacco,4,"Bankers Fidelity Assur Co",114.63,attained age,no,6.9,2026-02-01,105.30,202.00,96.70,19,2026-07-15
NJ,N,65,F non-tobacco,5,"Humana Insurance Company",114.66,attained age,yes,15.01,2026-02-01,105.30,202.00,96.70,19,2026-07-15
NJ,N,70,F non-tobacco,1,"AARP Medicare Supplement Insurance Plans, insured by United Healthcare Insurance Company of America",117.22,community rated,yes,7.11,2025-08-01,117.22,245.00,127.78,19,2026-07-15
